image,label,item-count,item-key
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/turtle_up.svg,turtle_up.svg,2,type-9a75f5c3-3160-4c3c-bf25-90ee8db8ccd5
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/rising_tide.svg,rising_tide.svg,1,type-52e3dedc-d7d1-468b-87aa-109b27a89cb0
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/updraft.svg,updraft.svg,2,type-1873669d-28df-4386-a700-1bc21ce85209
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/peck.svg,peck.svg,2,type-51ea38ac-47f6-4417-857d-fa7e7b1ad790
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/second_wind.svg,second_wind.svg,1,type-45c0f7b0-16ec-4f2a-a5f5-b3ffeead428c
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/quick_dodge.svg,quick_dodge.svg,2,type-cd7509fc-f980-45b5-a958-c753fc8813c1
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/animal_instinct.svg,animal_instinct.svg,2,type-a5f4436a-a5ee-4fad-bc90-c5d8a3a57021
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/punch.svg,punch.svg,2,type-5f1722af-cf97-473c-ac09-6b23ead1e2d7
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/headbutt.svg,headbutt.svg,1,type-a00b4d5a-ccfb-4a1b-ac00-4c05bed13675
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/basic_dodge.svg,basic_dodge.svg,2,type-afc08ec5-c270-448d-b546-dc9eac268088
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/reactive_dodge.svg,reactive_dodge.svg,2,type-73548cf3-79f6-4b8e-884e-e8309039dcb9
https://raw.githubusercontent.com/ekingapex/TEC-TCG/main/modifier%20pics/frenzied_attack.svg,frenzied_attack.svg,1,type-2df613fc-7bf4-4e1f-9238-9a5534b3712b
